title,description,text,date
"As Kazakhstan Descends into Chaos, Crypto Miners Are at a Loss","The central Asian country became No. 2 in the world for Bitcoin mining. But political turmoil and power cuts have hit hard, and the future looks bleak.","When Denis Rusinovich set up cryptocurrency mining company Maveric Group in Kazakhstan in 2017, he thought he had hit the jackpot. Next door to China and Russia, the country had everything a Bitcoin … [+4140 chars]",2022-01-12T12:00:00Z
The International Monetary Fund tells El Salvador it shouldn’t use Bitcoin as legal tender,"The International Monetary Fund’s executive directors have recommended to El Salvador that it should narrow the scope of its Bitcoin law, making it so that the cryptocurrency is no longer legal tender in the country.","El Salvador introduced Bitcoin as a legal tender alongside the US dollar in 2021. | Illustration by Alex Castro / The Verge

 

 The International Monetary Fund’s executive board has recommended El … [+2691 chars]",2022-01-25T22:11:14Z
Jack Dorsey’s Block is working to make Bitcoin mining easier,"Block is working on building an “open Bitcoin mining system,” its CEO Jack Dorsey has announced. The company’s goals for the system are for it to be easily available, reliable, and relatively power efficient.","Were officially building an open Bitcoin mining system
Photo by Joe Raedle/Getty Images
Block, the payment company formerly known as Square, is working on building an open Bitcoin mining system, it… [+2078 chars]",2022-01-14T13:46:28Z
DeepDotWeb operator sentenced to eight years for money laundering,"The operator of DeepDotWeb, a site that indexed dark net marketplaces accessible through Tor browser, was sentenced to eight years after pleading guilty to money laundering using Bitcoin.","Israeli national Tal Prihar pled guilty to routing money from kickbacks through Bitcoin and shell companies 
Illustration by Alex Castro / The Verge
In the culmination of a two-year legal process, … [+1448 chars]",2022-01-27T18:16:57Z
Crypto.com admits over $30 million stolen by hackers,Cryptocurrency exchange Crypto.com has said that $15 million in ethereum and $18 million in bitcoin were stolen by hackers in a security breach,"In a new blog post the company said that 4,836 ETH and 443 bitcoin were taken
Illustration by Alex Castro / The Verge
In a blog post published in the early hours of Thursday morning, cryptocurrency… [+2004 chars]",2022-01-20T13:23:31Z
"Bitcoin Extends Slide, Has Fallen More Than 50% From Record High","Bitcoin, the largest digital asset, extended its decline Saturday, and has now shed more than 50% from its record high in November.Bitcoin’s decline since hitting the record has wiped out more than $600 billion in market value, and over $1 trillion has been l…","Bitcoin, the largest digital asset, extended its decline Saturday, and has now shed more than 50% from its record high in November.Bitcoin’s decline since hitting the record has wiped out more than $… [+567 chars]",2022-01-22T13:35:00Z
"Block is officially building an 'open Bitcoin mining system,' says founder Jack Dorsey","Block founder Jack Dorsey has announced on Twitter that the company is officially building an open bitcoin mining system. Dorsey first announced in October last year that the digital payments provider, then known as Square, was considering working on the proj…",Block founder Jack Dorsey has announced on Twitter that the company is officially building an open bitcoin mining system. Dorsey first announced in October last year that the digital payments provide… [+1584 chars],2022-01-14T11:40:33Z
Musk says Tesla to accept dogecoin for merchandise,"<table><tr><td></td></tr><tr><td> Representation of cryptocurrency Dogecoin is seen in this illustration taken November 29, 2021. REUTERS/Dado Ruvic/Illustration/File Photo</td></tr>
</table>Tesla Inc (TSLA.O) will accept the meme-based cryptocurrency dogeco…","Tesla Inc (TSLA.O) will accept the meme-based cryptocurrency dogecoin as payment for its products such as the ""Giga Texas"" belt buckle and mini  electric vehicle models, CEO Elon Musk said on Friday … [+1482 chars]",2022-01-14T14:14:00Z
Eric Adams Is Taking His First Paycheck in Crypto,"Mr. Adams, who wants New York City to become the global capital for cryptocurrency, will have his paycheck converted into Bitcoin and Ethereum.","On some level, the new mayor is simply employing an age-old political strategy: making overtures to the business community. Fintech is a growing field in New York City, and blockchain-based companies… [+1562 chars]",2022-01-20T19:54:48Z
Gibraltar Could Launch the World’s First Crypto Stock Exchange,“The Rock” hopes a new stock exchange will attract crypto millionaires who want to avoid hefty taxes.,"British entrepreneur and financier Richard ODell Poulden hopes that his new venture will relieve the plight of an underserved cohort: Bitcoin billionaires who want to buy a house.
In October, Poulde… [+3364 chars]",2022-01-26T12:00:00Z
